variable;variable_alias;dim;type;name;standard_name;alias_name;units;min_value;max_value
lithk;;x,y,t;ST;Ice thickness;land_ice_thickness;;m;0;1000
orog;;x,y,t;ST;Surface elevation;surface_altitude;;m;0;1000
base;;x,y,t;ST;Base elevation;base_altitude;;m;0;1000
topg;;x,y,t;ST;Bedrock elevation;bedrock_altitude;;m;0;1000
hfgeoubed;;x,y,t;FL;Geothermal heat flux;upward_geothermal_heat_flux_in_land_ice;upward_geothermal_heat_flux_at_ground_level;W m-2;0;1000
acabf;;x,y,t;FL;Surface mass balance flux;land_ice_surface_specific_mass_balance_flux;;kg m-2 s-1;0;1000
libmassbfgr; libmassbf;x,y,t;FL;Basal mass balance flux beneath grounded ice;land_ice_basal_specific_mass_balance_flux;;kg m-2 s-1;0;1000
libmassbffl; libmassbf;x,y,t;FL;Basal mass balance flux beneath floating ice;land_ice_basal_specific_mass_balance_flux;;kg m-2 s-1;0;1000
dlithkdt;;x,y,t;FL;Ice thickness imbalance;tendency_of_land_ice_thickness;;m s-1;0;1000
xvelsurf; uvelsurf;x,y,t;ST;Surface velocity in x;land_ice_surface_x_velocity;;m s-1;0;1000
yvelsurf;;x,y,t;ST;Surface velocity in y;land_ice_surface_y_velocity;;m s-1;0;1000
zvelsurf; wvelsurf;x,y,t;ST;Surface velocity in z;land_ice_surface_upward_velocity;;m s-1;0;1000
xvelbase; uvelbase;x,y,t;ST;Basal velocity in x;land_ice_basal_x_velocity;;m s-1;0;1000
yvelbase; vvelbase;x,y,t;ST;Basal velocity in y;land_ice_basal_y_velocity;;m s-1;0;1000
zvelbase; wvelbase;x,y,t;ST;Basal velocity in z;land_ice_basal_upward_velocity;;m s-1;0;1000
xvelmean; uvelmean;x,y,t;ST;Mean velocity in x;land_ice_vertical_mean_x_velocity;;m s-1;0;1000
yvelmean; vvelmean;x,y,t;ST;Mean velocity in y;land_ice_vertical_mean_y_velocity;;m s-1;0;1000
litemptop; litempsnic;x,y,t;ST;Surface temperature;temperature_at_top_of_ice_sheet_model;temperature_at_ground_level_in_snow_or_firn;K;0;1000
litempbotgr; litempbot;x,y,t;ST;Basal temperature beneath grounded ice sheet;temperature_at_base_of_ice_sheet_model ;land_ice_basal_temperature;K;0;1000
litempbotfl; litempbot;x,y,t;ST;Basal temperature beneath floating ice shelf;temperature_at_base_of_ice_sheet_model;land_ice_basal_temperature;K;0;1000
strbasemag;;x,y,t;ST;Basal drag;land_ice_basal_drag;magnitude_of_land_ice_basal_drag;Pa;0;1000
licalvf;;x,y,t;FL;Calving flux;land_ice_specific_mass_flux_due_to_calving;;kg m-2 s-1;0;1000
lifmassbf;;x,y,t;FL;Ice front melt and calving flux;land_ice_specific_mass_flux_due_to_calving_and_ice_front_melting;;kg m-2 s-1;0;1000
ligroundf;;x,y,t;FL;Grounding line flux;land_ice_specific_mass_flux_at_grounding_line;;kg m-2 s-1;0;1000
sftgif;;x,y,t;ST;Land ice area fraction;land_ice_area_fraction;;1;0;1000
sftgrf;;x,y,t;ST;Grounded ice sheet area fraction;grounded_ice_sheet_area_fraction;;1;0;1000
sftflf;;x,y,t;ST;Floating ice sheet area fraction;floating_ice_shelf_area_fraction;floating_ice_sheet_area_fraction;1;0;1000
lim;;t;ST;Total ice mass;land_ice_mass;;kg;0;1000
limnsw;;t;ST;Mass above floatation;land_ice_mass_not_displacing_sea_water;;kg;0;1000
iareagr; iareag;t;ST;Grounded ice area;grounded_ice_sheet_area;grounded_land_ice_area;m^2;0;1000
iareafl; iareaf;t;ST;Floating ice area;floating_ice_shelf_area;;m^2;0;1000
tendacabf;;t;FL;Total SMB flux;tendency_of_land_ice_mass_due_to_surface_mass_balance;;kg s-1;0;1000
tendlibmassbf;;t;FL;Total BMB flux;tendency_of_land_ice_mass_due_to_basal_mass_balance;;kg s-1;0;1000
tendlibmassbffl;;t;FL;Total BMB flux beneath floating ice;tendency_of_land_ice_mass_due_to_basal_mass_balance;;kg s-1;0;1000
tendlicalvf;;t;FL;Total calving flux;tendency_of_land_ice_mass_due_to_calving;;kg s-1;0;1000
tendlifmassbf;;t;FL;Total calving and ice front melting flux;tendency_of_land_ice_mass_due_to_calving_and_ice_front_melting;;kg s-1;0;1000
tendligroundf;;t;FL;Total grounding line flux;tendency_of_grounded_ice_mass;;kg s-1;0;1000
